=== OCCLUSION CULLING VERIFICATION REPORT (2026-08-12 16:30:41) ===
[1/23] Blueprints.unity: BAKED (Asset Size: 211 208 bytes, Umbra: 0 B)
[2/23] CandleHolder.unity: BAKED (Asset Size: 6 084 bytes, Umbra: 0 B)
[3/23] Candles.unity: BAKED (Asset Size: 110 665 bytes, Umbra: 0 B)
[4/23] CastleSideBridges.unity: BAKED (Asset Size: 10 768 bytes, Umbra: 0 B)
[5/23] Chandeliers.unity: BAKED (Asset Size: 4 141 bytes, Umbra: 0 B)
[6/23] Grasses.unity: BAKED (Asset Size: 421 416 bytes, Umbra: 0 B)
[7/23] GroundTorches.unity: BAKED (Asset Size: 16 513 bytes, Umbra: 0 B)
[8/23] InteriorFloorBoxes.unity: BAKED (Asset Size: 100 791 bytes, Umbra: 0 B)
[9/23] MergedCylinders.unity: BAKED (Asset Size: 14 132 bytes, Umbra: 0 B)
[10/23] Other.unity: BAKED (Asset Size: 209 532 bytes, Umbra: 0 B)
[11/23] PillarSet2.unity: BAKED (Asset Size: 24 269 bytes, Umbra: 0 B)
[12/23] Railings.unity: BAKED (Asset Size: 57 149 bytes, Umbra: 0 B)
[13/23] Rocks.unity: BAKED (Asset Size: 235 560 bytes, Umbra: 0 B)
[14/23] Stairs.unity: BAKED (Asset Size: 98 323 bytes, Umbra: 0 B)
[15/23] StaticMeshActors.unity: BAKED (Asset Size: 375 551 bytes, Umbra: 0 B)
[16/23] Stones.unity: BAKED (Asset Size: 477 669 bytes, Umbra: 0 B)
[17/23] SupportPillars.unity: BAKED (Asset Size: 13 846 bytes, Umbra: 0 B)
[18/23] SupportTowers.unity: BAKED (Asset Size: 14 411 bytes, Umbra: 0 B)
[19/23] Torches.unity: BAKED (Asset Size: 12 824 bytes, Umbra: 0 B)
[20/23] WallGargoyles.unity: BAKED (Asset Size: 6 846 bytes, Umbra: 0 B)
[21/23] Walls.unity: BAKED (Asset Size: 250 664 bytes, Umbra: 0 B)
[22/23] WoodDeco.unity: BAKED (Asset Size: 141 361 bytes, Umbra: 0 B)
[23/23] DefaultLocaiton.unity: BAKED (Asset Size: 2 782 365 bytes, Umbra: 0 B)
=== SUMMARY: 23 Baked, 0 Missing out of 23 scenes ===
